timestamp,totalDataChartBreakdown,totalDataChart
2022/9/4 17:00,169694.6099999994,4642056.859999997
2022/9/5 17:00,400420.5999999996,5928939.739999967
2022/9/6 17:00,147228.6400000006,2744713.7899999768
2022/9/7 17:00,167920.12000000104,3127163.0799999703
2022/9/8 17:00,256087.2199999988,5966088.1200000215
2022/9/9 17:00,48489.56000000052,1251044.5599999912
2022/9/10 17:00,90212.33999999985,4409578.890000042
2022/9/11 17:00,141652.08000000007,2560577.1299999394
2022/9/12 17:00,219163.20999999717,4097893.360000044
2022/9/13 17:00,88120.56000000238,2832385.010000011
2022/9/14 17:00,205669.41000000015,2264009.9099999927
2022/9/15 17:00,133774.26999999955,2170929.9600000754
2022/9/16 17:00,70579.91999999806,1462987.1400000397
2022/9/17 17:00,101516.55000000075,1895965.8799998816
